number,name,link,language,embed
19,Remove Nth Node from End of List,https://youtu.be/YzsDrLVSSWY,Java,https://www.youtube.com/embed/YzsDrLVSSWY
19,Remove Nth Node from End of List,https://youtu.be/NJV9i3Oub3o,Python,https://www.youtube.com/embed/NJV9i3Oub3o
20,Valid Parenthesis,https://youtu.be/chFL7EiB8Xo,Python,https://www.youtube.com/embed/chFL7EiB8Xo
20,Valid Parenthesis,https://youtu.be/VPbhQGjPS3k,JavaScript,https://www.youtube.com/embed/VPbhQGjPS3k
20,Valid Parenthesis,https://youtu.be/xUDsI3EiwkU,Java,https://www.youtube.com/embed/xUDsI3EiwkU
21,Merge Two Sorted Lists,https://youtu.be/oKySDaY-40U,JavaScript,https://www.youtube.com/embed/oKySDaY-40U
21,Merge Two Sorted Lists,https://youtu.be/jkmKequUmHA,Java,https://www.youtube.com/embed/jkmKequUmHA
21,Merge Two Sorted Lists,https://youtu.be/5GtqSOslYgw,Python,https://www.youtube.com/embed/5GtqSOslYgw
24,Swap Nodes in Pairs,https://youtu.be/2n0N_g7nLXc,JavaScript,https://www.youtube.com/embed/2n0N_g7nLXc
24,Swap Nodes in Pairs,https://youtu.be/zL02Lytpadc,Java,https://www.youtube.com/embed/zL02Lytpadc
24,Swap Nodes in Pairs,https://youtu.be/lu1-I1DHtCk,Python,https://www.youtube.com/embed/lu1-I1DHtCk
27,Remove Element,https://youtu.be/LKNJtRCt11k,JavaScript,https://www.youtube.com/embed/LKNJtRCt11k
27,Remove Element,https://youtu.be/oO3T7NozcfA,Java,https://www.youtube.com/embed/oO3T7NozcfA
27,Remove Element,https://youtu.be/ry5omQWPbFo,Python,https://www.youtube.com/embed/ry5omQWPbFo
34,Find First and Last Position of Element in Sorted Array,https://youtu.be/SUYSC3RqtMA,JavaScript,https://www.youtube.com/embed/SUYSC3RqtMA
34,Find First and Last Position of Element in Sorted Array,https://youtu.be/VtJWu2I9jRU,Java,https://www.youtube.com/embed/VtJWu2I9jRU
34,Find First and Last Position of Element in Sorted Array,https://youtu.be/IsnLh0TF-JU,Python,https://www.youtube.com/embed/IsnLh0TF-JU
35,Search Insert Position,https://youtu.be/E395oagDXGQ,Java,https://www.youtube.com/embed/E395oagDXGQ
35,Search Insert Position,https://youtu.be/2s2qla7k0Lw,Python,https://www.youtube.com/embed/2s2qla7k0Lw
35,Search Insert Position,https://youtu.be/gNHk34o_38M,JavaScript,https://www.youtube.com/embed/gNHk34o_38M
49,Group Anagrams,https://youtu.be/xNrt32NREC4,JavaScript,https://www.youtube.com/embed/xNrt32NREC4
49,Group Anagrams,https://youtu.be/klO8RukPXHc,Java,https://www.youtube.com/embed/klO8RukPXHc
49,Group Anagrams,https://youtu.be/KVqVgG7A-uE,Python,https://www.youtube.com/embed/KVqVgG7A-uE
53,Maximum Subarray,https://youtu.be/nyfxKsGYfeY,JavaScript,https://www.youtube.com/embed/nyfxKsGYfeY
53,Maximum Subarray,https://youtu.be/_L0wH2sfMFs,Java,https://www.youtube.com/embed/_L0wH2sfMFs
53,Maximum Subarray,https://youtu.be/Nka2HNr1iCs,Python,https://www.youtube.com/embed/Nka2HNr1iCs
61,Rotate List,https://youtu.be/5j9pLXr7xpM,JavaScript,https://www.youtube.com/embed/5j9pLXr7xpM
61,Rotate List,https://youtu.be/DQF1FDjwx8Y,Java,https://www.youtube.com/embed/DQF1FDjwx8Y
61,Rotate List,https://youtu.be/xsNBif7R-Ik,Python,https://www.youtube.com/embed/xsNBif7R-Ik
82,Remove Duplicates from Sorted List II,https://youtu.be/MR-xszKxP2U,JavaScript,https://www.youtube.com/embed/MR-xszKxP2U
82,Remove Duplicates from Sorted List II,https://youtu.be/SXhy0w4Dn-0,Java,https://www.youtube.com/embed/SXhy0w4Dn-0
82,Remove Duplicates from Sorted List II,https://youtu.be/aRIzeO0-IpY,Python,https://www.youtube.com/embed/aRIzeO0-IpY
83,Remove Duplicates from Sorted List,https://youtu.be/zy-I09S7TZs,JavaScript,https://www.youtube.com/embed/zy-I09S7TZs
83,Remove Duplicates from Sorted List,https://youtu.be/l2na1w7wemE,Java,https://www.youtube.com/embed/l2na1w7wemE
83,Remove Duplicates from Sorted List,https://youtu.be/dnVD8JKB0yI,Python,https://www.youtube.com/embed/dnVD8JKB0yI
86,Partition List,https://youtu.be/fjS3wxQBMJs,JavaScript,https://www.youtube.com/embed/fjS3wxQBMJs
86,Partition List,https://youtu.be/pxc7oKwNiBU,Java,https://www.youtube.com/embed/pxc7oKwNiBU
86,Partition List,https://youtu.be/fr9e8EEFi5g,Python,https://www.youtube.com/embed/fr9e8EEFi5g
92,Reverse Linked List II,https://youtu.be/viUJkOMaYiA,JavaScript,https://www.youtube.com/embed/viUJkOMaYiA
92,Reverse Linked List II,https://youtu.be/ke5ATjZ2DTg,Java,https://www.youtube.com/embed/ke5ATjZ2DTg
92,Reverse Linked List II,https://youtu.be/tVvZfk1xrGc,Python,https://www.youtube.com/embed/tVvZfk1xrGc
94,Binary Tree Inorder Traversal,https://youtu.be/IIulSuoSLc4,JavaScript,AAAAAAAA
94,Binary Tree Inorder Traversal,https://youtu.be/zgoTDv_neZQ,Java,AAAAAAAA
94,Binary Tree Inorder Traversal,https://youtu.be/j82eoM-t254,Python,AAAAAAAA
100,Same Tree,https://youtu.be/STzsNhfoFsI,JavaScript,AAAAAAAA
100,Same Tree,https://youtu.be/I1nOO82aBjc,Java,AAAAAAAA
100,Same Tree,https://youtu.be/IUUAAuUb_RU,Python,AAAAAAAA
104,Maximum Depth of Binary Tree,https://youtu.be/8EkcRWMdb5M,JavaScript,AAAAAAAA
104,Maximum Depth of Binary Tree,https://youtu.be/OcjCvnte98Q,Java,AAAAAAAA
104,Maximum Depth of Binary Tree,https://youtu.be/_KJrXSaZeYk,Python,AAAAAAAA
121,Best Time to Buy and Sell Stock,https://youtu.be/XrZjUaNEzDg,JavaScript,AAAAAAAA
121,Best Time to Buy and Sell Stock,https://youtu.be/twaIL-KkYMY,Java,AAAAAAAA
121,Best Time to Buy and Sell Stock,https://youtu.be/QxtL-5PRfjw,Python,AAAAAAAA
122,Best Time to Buy and Sell Stock II,https://youtu.be/L0ODfxmXk1Y,JavaScript,AAAAAAAA
122,Best Time to Buy and Sell Stock II,https://youtu.be/_4HvRrM6PX0,Java,AAAAAAAA
122,Best Time to Buy and Sell Stock II,https://youtu.be/2bZXXFRE7AI,Python,AAAAAAAA
125,Valid Palindrome,https://youtu.be/83kOB8nufvA,JavaScript,AAAAAAAA
125,Valid Palindrome,https://youtu.be/QfDg8fi2rQ0,Java,AAAAAAAA
125,Valid Palindrome,https://youtu.be/IWaR7qbIydA,Python,AAAAAAAA
141,Linked List Cycle,https://youtu.be/yl6kQsPGSbQ,JavaScript,AAAAAAAA
141,Linked List Cycle,https://youtu.be/OXY7CxaGFTU,Java,AAAAAAAA
141,Linked List Cycle,https://youtu.be/BL5X2kFXEkM,Python,AAAAAAAA
142,Linked List Cycle II,https://youtu.be/F7t1xeWAKJs,JavaScript,AAAAAAAA
142,Linked List Cycle II,https://youtu.be/nwKMWLHFWW8,Java,AAAAAAAA
142,Linked List Cycle II,https://youtu.be/SG_hKYHiQkY,Python,AAAAAAAA
143,Reorder List,https://youtu.be/XAZemvEdTgo,JavaScript,AAAAAAAA
143,Reorder List,https://youtu.be/FYv5l0FVCLs,Java,AAAAAAAA
143,Reorder List,https://youtu.be/3nYWmn3I3_M,Python,AAAAAAAA
169,Majority Element,https://youtu.be/zVQSyyiaFiI,JavaScript,AAAAAAAA
169,Majority Element,https://youtu.be/LEBVpwN7J0I,Java,AAAAAAAA
169,Majority Element,https://youtu.be/rvcYN2zZ4AA,Python,AAAAAAAA
206,Reverse Linked List,https://youtu.be/taHQwr1jbBc,JavaScript,AAAAAAAA
206,Reverse Linked List,https://youtu.be/AfIAHfIfSEw,Java,AAAAAAAA
206,Reverse Linked List,https://youtu.be/k8Hf9aFUKnQ,Python,AAAAAAAA
217,Contains Duplicate,https://youtu.be/y2QOnfS8BTk,JavaScript,AAAAAAAA
217,Contains Duplicate,https://youtu.be/ZFaxvqkBtVw,Java,AAAAAAAA
217,Contains Duplicate,https://youtu.be/wTXfrW44cKU,Python,AAAAAAAA
225,Implement Stack Using Queues,https://youtu.be/YTLOBPpxeNo,Java,AAAAAAAA
225,Implement Stack Using Queues,https://youtu.be/wWfNdIHSvpw,Python,AAAAAAAA
234,Palindrome Linked List,https://youtu.be/Sfx6wBE152o,JavaScript,AAAAAAAA
234,Palindrome Linked List,https://youtu.be/tqreEdiP770,Java,AAAAAAAA
234,Palindrome Linked List,https://youtu.be/BPxuIHCSip4,Python,AAAAAAAA
242,Valid Anagram,https://youtu.be/kQpiDy35UeE,JavaScript,AAAAAAAA
242,Valid Anagram,https://youtu.be/5cdJNqLsMpM,Java,AAAAAAAA
242,Valid Anagram,https://youtu.be/A-i7zQWvLwo,Python,AAAAAAAA
268,Missing Number,https://youtu.be/PjHVArvelG0,JavaScript,AAAAAAAA
268,Missing Number,https://youtu.be/t-ZN2HM0bLQ,Java,AAAAAAAA
268,Missing Number,https://youtu.be/eQrL1XGDzmc,Python,AAAAAAAA
278,First Bad Version,https://youtu.be/QP2XoclVlPo,JavaScript,AAAAAAAA
278,First Bad Version,https://youtu.be/u6AtYivQ5AE,Java,AAAAAAAA
278,First Bad Version,https://youtu.be/ClUk-hItOLE,Python,AAAAAAAA
326,Power of Three,https://youtu.be/XozLgYN6jQQ,JavaScript,AAAAAAAA
326,Power of Three,https://youtu.be/4zSmxBCSNys,Java,AAAAAAAA
326,Power of Three,https://youtu.be/qHhDlVWDfIM,Python,AAAAAAAA
328,Odd Even Linked List,https://youtu.be/4p-lK0GC73w,JavaScript,AAAAAAAA
328,Odd Even Linked List,https://youtu.be/4f--Ye6wzl0,Java,AAAAAAAA
328,Odd Even Linked List,https://youtu.be/n4HTwEW7EOM,Python,AAAAAAAA
344,Reverse String,https://youtu.be/-lh_5OgQR84,JavaScript,AAAAAAAA
344,Reverse String,https://youtu.be/Bk6ZFKCqavI,Java,AAAAAAAA
344,Reverse String,https://youtu.be/lvBiqZn6m5Q,Python,AAAAAAAA
382,Linked List Random Node,https://youtu.be/YNPId6_adEk,JavaScript,AAAAAAAA
382,Linked List Random Node,https://youtu.be/JJYkQU850Io,Java,AAAAAAAA
382,Linked List Random Node,https://youtu.be/AAqqMRWFX1Q,Python,AAAAAAAA
387,First Unique Character in a String,https://youtu.be/MkRksyhJvHw,JavaScript,AAAAAAAA
387,First Unique Character in a String,https://youtu.be/xg_jFLfSqcc,Java,AAAAAAAA
387,First Unique Character in a String,https://youtu.be/N-8SEI7I60Y,Python,AAAAAAAA
412,Fizz Buzz,https://youtu.be/YEgNRGDCMEU,Java,AAAAAAAA
412,Fizz Buzz,https://youtu.be/5zQMHRKgvKo,JavaScript,AAAAAAAA
412,Fizz Buzz,https://youtu.be/RDbWJ4Kmxhs,Python,AAAAAAAA
566,Reshape the Matrix,https://youtu.be/l5shF3QrMzQ,JavaScript,AAAAAAAA
566,Reshape the Matrix,https://youtu.be/S1FG5zK43Pw,Java,AAAAAAAA
566,Reshape the Matrix,https://youtu.be/kpL0JLBoN90,Python,AAAAAAAA
704,Binary Search,https://youtu.be/Azltmk5WZvU,JavaScript,AAAAAAAA
704,Binary Search,https://youtu.be/fw6oASo6NA8,Java,AAAAAAAA
704,Binary Search,https://youtu.be/vEFyMHaQJes,Python,AAAAAAAA
724,Find Pivot Index,https://youtu.be/e1DmbkvztFk,JavaScript,AAAAAAAA
724,Find Pivot Index,https://youtu.be/SQzjPlVQtM4,Java,AAAAAAAA
724,Find Pivot Index,https://youtu.be/AnIVjFOioNQ,Python,AAAAAAAA
766,Toeplitz Matrix,https://youtu.be/PXM6QK4jbl0,JavaScript,AAAAAAAA
766,Toeplitz Matrix,https://youtu.be/NqIfPH6iJhU,Java,AAAAAAAA
766,Toeplitz Matrix,https://youtu.be/I_yfdmhFZiU,Python,AAAAAAAA
867,Transpose Matrix,https://youtu.be/iryOQDQ7p8E,JavaScript,AAAAAAAA
867,Transpose Matrix,https://youtu.be/9ROkqHpeX8c,Java,AAAAAAAA
867,Transpose Matrix,https://youtu.be/1QmcIviBlrY,Python,AAAAAAAA
876,Middle of the Linked List,https://youtu.be/jLXIZRwIM_U,JavaScript,AAAAAAAA
876,Middle of the Linked List,https://youtu.be/nRJvgV9L0Z0,Java,AAAAAAAA
876,Middle of the Linked List,https://youtu.be/PsuZBoco_Ow,Python,AAAAAAAA
1480,Running Sum of 1d Array,https://youtu.be/SvsLWZnnkvY,JavaScript,AAAAAAAA
1480,Running Sum of 1d Array,https://youtu.be/c3bazLN9obQ,Java,AAAAAAAA
1480,Running Sum of 1d Array,https://youtu.be/4kKgXjtPc60,Python,AAAAAAAA
2619,Array Prototype Last,https://youtu.be/rgEAAkoW_Vs,JavaScript,AAAAAAAA
2620,Counter,https://youtu.be/KjC37um82c4,JavaScript,AAAAAAAA
